,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,wechselkind,wechselkind,Ability Score Increase,Your Constitution score increases by 2 and your Charisma score increases by 1.,enfant de la rue,enfant de la rue,Augmentation du score de capacité,Votre score de Constitution augmente de 2 et votre score de Charisme augmente de 1.
1,wechselkind,wechselkind,Age,"As constructs, the wechselkind do not age as normal creatures do. They are forever trapped in the doll-like body of a stolen child. As such, their maximum age is more a function of natural erosion and damage than of time, occasionally needing to replace or fix body parts when needed. You are immune to magical aging effects.",enfant de la rue,enfant de la rue,Âge,"En tant que créatures artificielles, les Wechselkind ne vieillissent pas comme les créatures normales. Ils sont prisonniers à jamais du corps de poupée d'un enfant volé. Ainsi, leur âge maximum est davantage fonction de l'érosion et des dommages naturels que du temps, nécessitant parfois de remplacer ou de réparer des parties du corps si nécessaire. Vous êtes immunisé contre les effets du vieillissement magique."
2,wechselkind,wechselkind,Alignment,"Faerie are as close to the embodiment of chaos as most mortals are likely to see, and their creations usually follow that trend. Although some tend towards mischief, more wechselkind lean towards good than evil.",enfant de la rue,enfant de la rue,Alignement,"Les fées sont l'incarnation du chaos que la plupart des mortels sont susceptibles de voir, et leurs créations suivent généralement cette tendance. Bien que certaines aient tendance à faire des bêtises, la plupart des Wechselkind penchent vers le bien plutôt que vers le mal."
3,wechselkind,wechselkind,Size,"Built to resemble a child, wechselkind are between 2 and 3 feet tall and weigh between 35 and 55 pounds. Your size is Small.",enfant de la rue,enfant de la rue,Taille,"Conçus pour ressembler à un enfant, les Wechselkind mesurent entre 2 et 3 pieds et pèsent entre 35 et 55 livres. Votre taille est Small."
4,wechselkind,wechselkind,Speed,Your base walking speed is 25 feet.,enfant de la rue,enfant de la rue,Vitesse,Votre vitesse de marche de base est de 25 pieds.
5,wechselkind,wechselkind,Artificial Form,"As a constructed creature, your body functions differently than a normal person.",enfant de la rue,enfant de la rue,Forme artificielle,"En tant qu’être construit, votre corps fonctionne différemment de celui d’une personne normale."
6,wechselkind,wechselkind,,"You have advantage on saving throws against being poisoned, and you have resistance to poison damage.
You are immune to disease. You don’t need to eat, drink, sleep, or breathe. You are still considered humanoid.
",enfant de la rue,enfant de la rue,,"Vous bénéficiez d'un avantage aux jets de sauvegarde contre l'empoisonnement et vous avez une résistance aux dégâts de poison.
Vous êtes immunisé contre les maladies. Vous n'avez pas besoin de manger, de boire, de dormir ou de respirer. Vous êtes toujours considéré comme humanoïde."
7,wechselkind,wechselkind,Faerie Glamour,"When the faerie leaves a wechselkind in place of a mortal child, they cover it with a glamour to make it appear identical to the child that was stolen. Over time this glamour fades, but a wechselkind can still call upon it in times of need.",enfant de la rue,enfant de la rue,Glamour féerique,"Lorsque la fée laisse un wechselkind à la place d'un enfant mortel, elle le recouvre d'un charme pour le faire ressembler à l'enfant volé. Au fil du temps, ce charme s'estompe, mais un wechselkind peut toujours l'invoquer en cas de besoin."
8,wechselkind,wechselkind,Childish Agility,You can move through the space of any creature that is of a size larger than yours. You gain proficiency in the Acrobatics skill.,enfant de la rue,enfant de la rue,Agilité enfantine,Vous pouvez vous déplacer dans l'espace de n'importe quelle créature dont la taille est supérieure à la vôtre. Vous obtenez la maîtrise de la compétence Acrobaties.
9,wechselkind,wechselkind,Languages,"You can speak, read, and write Sylvan and one other language of your choice.",enfant de la rue,enfant de la rue,Langues,"Vous pouvez parler, lire et écrire le sylvain et une autre langue de votre choix."
