,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,grung,grung,Ability Score Increase,Your Dexterity score increases by 2 and your Constitution score increases by 1.,grunge,grunge,Augmentation du score de capacité,Votre score de Dextérité augmente de 2 et votre score de Constitution augmente de 1.
1,grung,grung,Age,"Grungs mature to adulthood in a single year, but have been known to live up to 50 years.",grunge,grunge,Âge,"Les Grungs atteignent l'âge adulte en une seule année, mais on sait qu'ils peuvent vivre jusqu'à 50 ans."
2,grung,grung,Alignment,"Most grungs are lawful, having been raised in a strict caste system. They tend toward evil as well, coming from a culture where social advancement occurs rarely, and most often because another member of your army has died and there is no one else of that caste to fill the vacancy.",grunge,grunge,Alignement,"La plupart des Grungs sont respectueux des lois, ayant été élevés dans un système de castes strict. Ils ont également tendance à être mauvais, venant d'une culture où l'avancement social est rare, et le plus souvent parce qu'un autre membre de votre armée est mort et qu'il n'y a personne d'autre de cette caste pour occuper le poste vacant."
3,grung,grung,Arboreal Alertness,You have proficiency in the Perception skill.,grunge,grunge,Vigilance arboricole,Vous maîtrisez la compétence Perception.
4,grung,grung,Size,Grungs stand between 2 ½ and 3 ½ feet tall and average about 30 pounds. Your size is Small.,grunge,grunge,Taille,Les Grungs mesurent entre 2 ½ et 3 ½ pieds et pèsent en moyenne environ 30 livres. Votre taille est Small.
5,grung,grung,Speed,"Your base walking speed is 25 feet, and you have a climbing speed of 25 feet.",grunge,grunge,Vitesse,Votre vitesse de marche de base est de 25 pieds et vous avez une vitesse d'escalade de 25 pieds.
6,grung,grung,Amphibious,You can breathe air and water.,grunge,grunge,Amphibie,Vous pouvez respirer de l’air et de l’eau.
7,grung,grung,Poison Immunity,You’re immune to poison damage and the poisoned condition.,grunge,grunge,Immunité au poison,Vous êtes immunisé contre les dégâts de poison et contre l’état empoisonné.
8,grung,grung,Poisonous Skin,"Any creature that grapples you or otherwise comes into direct contact with your skin must succeed on a DC 12 Constitution saving throw or become poisoned for 1 minute. A poisoned creature no longer in direct contact with you can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",grunge,grunge,Peau empoisonnée,"Toute créature qui vous agrippe ou entre en contact direct avec votre peau doit réussir un jet de sauvegarde de Constitution DD 12 ou être empoisonnée pendant 1 minute. Une créature empoisonnée qui n'est plus en contact direct avec vous peut refaire le jet de sauvegarde à la fin de chacun de ses tours, mettant fin à l'effet sur elle-même en cas de réussite."
9,grung,grung,Standing Leap,"Your long jump is up to 25 feet and your high jump is up to 15 feet, with or without a running start.",grunge,grunge,Saut debout,"Votre saut en longueur peut atteindre 25 pieds et votre saut en hauteur peut atteindre 15 pieds, avec ou sans départ en courant."
10,grung,grung,Water Dependency,"If you fail to immerse yourself in water for at least 1 hour during a day, you suffer one level of exhaustion at the end of that day. You can only recover from this exhaustion through magic or by immersing yourself in water for at least 1 hour.",grunge,grunge,Dépendance à l'eau,"Si vous ne parvenez pas à vous immerger dans l'eau pendant au moins une heure au cours d'une journée, vous souffrez d'un niveau d'épuisement à la fin de cette journée. Vous ne pouvez vous remettre de cet épuisement que par magie ou en vous immergeant dans l'eau pendant au moins une heure."
11,grung,grung,Languages,"You can speak, read, and write Grung.",grunge,grunge,Langues,"Vous pouvez parler, lire et écrire le Grung."
