,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,satyr,satyr,Ability Score Increase,"Your Charisma score increases by 2, and your Dexterity score increases by 1.",satyre,satyre,Augmentation du score de capacité,Votre score de Charisme augmente de 2 et votre score de Dextérité augmente de 1.
1,satyr,satyr,Age,Satyrs mature and age at about the same rate as humans.,satyre,satyre,Âge,Les satyres mûrissent et vieillissent à peu près au même rythme que les humains.
2,satyr,satyr,Alignment,"Satyrs delight in living a life free of the mantle of law. They gravitate toward being good, but some have devious streaks and enjoy causing dismay.",satyre,satyre,Alignement,"Les satyres aiment vivre une vie libre de toute contrainte légale. Ils aspirent à être bons, mais certains ont des tendances sournoises et aiment semer la consternation."
3,satyr,satyr,Size,"Satyrs range from just under 5 feet to about 6 feet in height, with generally slender builds. Your size is Medium.",satyre,satyre,Taille,"Les satyres mesurent entre 1,50 m et 1,80 m de haut, et sont généralement de corpulence élancée. Votre taille est M."
4,satyr,satyr,Speed,Your base walking speed is 35 feet.,satyre,satyre,Vitesse,Votre vitesse de marche de base est de 35 pieds.
5,satyr,satyr,Fey,"Your creature type is fey, rather than humanoid.",satyre,satyre,Fée,Votre type de créature est féerique plutôt qu'humanoïde.
6,satyr,satyr,Ram,"You can use your head and horns to make unarmed strikes. If you hit with them, you deal bludgeoning damage equal to 1d4 + your Strength modifier.",satyre,satyre,Bélier,"Vous pouvez utiliser votre tête et vos cornes pour effectuer des attaques à mains nues. Si vous les utilisez, vous infligez des dégâts contondants égaux à 1d4 + votre modificateur de Force."
7,satyr,satyr,Magic Resistance,You have advantage on saving throws against spells and other magical effects.,satyre,satyre,Résistance magique,Vous bénéficiez d'un avantage sur les jets de sauvegarde contre les sorts et autres effets magiques.
8,satyr,satyr,Mirthful Leaps,"Whenever you make a long or high jump, you can roll a d8 and add the number rolled to the number of feet you cover, even when making a standing jump. This extra distance costs movement as normal.",satyre,satyre,Des sauts joyeux,"À chaque fois que vous effectuez un saut en longueur ou en hauteur, vous pouvez lancer un d8 et ajouter le nombre obtenu au nombre de pieds que vous parcourez, même lorsque vous effectuez un saut sans élan. Cette distance supplémentaire coûte du mouvement comme d'habitude."
9,satyr,satyr,Reveler,"You have proficiency in the Performance and Persuasion skills, and you have proficiency with one musical instrument of your choice.",satyre,satyre,Fêtard,"Vous maîtrisez les techniques d’interprétation et de persuasion, ainsi qu’un instrument de musique de votre choix."
10,satyr,satyr,Languages,"You can speak, read, and write Common and Sylvan.",satyre,satyre,Langues,"Vous pouvez parler, lire et écrire le commun et le sylvestre."
11,satyr,Satyr Eccentricities,Ability Score Increase,"Your Charisma score increases by 2, and your Dexterity score increases by 1.",satyre,Les excentricités du satyre,Augmentation du score de capacité,Votre score de Charisme augmente de 2 et votre score de Dextérité augmente de 1.
12,satyr,Satyr Eccentricities,Age,Satyrs mature and age at about the same rate as humans.,satyre,Les excentricités du satyre,Âge,Les satyres mûrissent et vieillissent à peu près au même rythme que les humains.
13,satyr,Satyr Eccentricities,Alignment,"Satyrs delight in living a life free of the mantle of law. They gravitate toward being good, but some have devious streaks and enjoy causing dismay.",satyre,Les excentricités du satyre,Alignement,"Les satyres aiment vivre une vie libre de toute contrainte légale. Ils aspirent à être bons, mais certains ont des tendances sournoises et aiment semer la consternation."
14,satyr,Satyr Eccentricities,Size,"Satyrs range from just under 5 feet to about 6 feet in height, with generally slender builds. Your size is Medium.",satyre,Les excentricités du satyre,Taille,"Les satyres mesurent entre 1,50 m et 1,80 m de haut, et sont généralement de corpulence élancée. Votre taille est M."
15,satyr,Satyr Eccentricities,Speed,Your base walking speed is 35 feet.,satyre,Les excentricités du satyre,Vitesse,Votre vitesse de marche de base est de 35 pieds.
16,satyr,Satyr Eccentricities,Fey,"Your creature type is fey, rather than humanoid.",satyre,Les excentricités du satyre,Fée,Votre type de créature est féerique plutôt qu'humanoïde.
17,satyr,Satyr Eccentricities,Ram,"You can use your head and horns to make unarmed strikes. If you hit with them, you deal bludgeoning damage equal to 1d4 + your Strength modifier.",satyre,Les excentricités du satyre,Bélier,"Vous pouvez utiliser votre tête et vos cornes pour effectuer des attaques à mains nues. Si vous les utilisez, vous infligez des dégâts contondants égaux à 1d4 + votre modificateur de Force."
18,satyr,Satyr Eccentricities,Magic Resistance,You have advantage on saving throws against spells and other magical effects.,satyre,Les excentricités du satyre,Résistance magique,Vous bénéficiez d'un avantage sur les jets de sauvegarde contre les sorts et autres effets magiques.
19,satyr,Satyr Eccentricities,Mirthful Leaps,"Whenever you make a long or high jump, you can roll a d8 and add the number rolled to the number of feet you cover, even when making a standing jump. This extra distance costs movement as normal.",satyre,Les excentricités du satyre,Des sauts joyeux,"À chaque fois que vous effectuez un saut en longueur ou en hauteur, vous pouvez lancer un d8 et ajouter le nombre obtenu au nombre de pieds que vous parcourez, même lorsque vous effectuez un saut sans élan. Cette distance supplémentaire coûte du mouvement comme d'habitude."
20,satyr,Satyr Eccentricities,Reveler,"You have proficiency in the Performance and Persuasion skills, and you have proficiency with one musical instrument of your choice.",satyre,Les excentricités du satyre,Fêtard,"Vous maîtrisez les techniques d’interprétation et de persuasion, ainsi qu’un instrument de musique de votre choix."
21,satyr,Satyr Eccentricities,Languages,"You can speak, read, and write Common and Sylvan.",satyre,Les excentricités du satyre,Langues,"Vous pouvez parler, lire et écrire le commun et le sylvestre."
