,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,cervan,cervan,Ability Score Increase,Your Constitution score increases by 2.,Cervan,Cervan,Augmentation du score de capacité,Votre score de Constitution augmente de 2.
1,cervan,cervan,Age,"Cervans reach maturity around 12 years. They live long lives compared to the rest of the Humblefolk, between 100 and 150 years, something they attribute as much to their way of life as the blessing of Cairith. Pronghorns generally live longer than grove cervans, which is considered a sign of Cairith’s favor.",Cervan,Cervan,Âge,"Les cervanes atteignent leur maturité vers 12 ans. Ils vivent plus longtemps que le reste des Humblefolk, entre 100 et 150 ans, ce qu'ils attribuent autant à leur mode de vie qu'à la bénédiction de Cairith. Les antilopes vivent généralement plus longtemps que les cervanes des bosquets, ce qui est considéré comme un signe de la faveur de Cairith."
2,cervan,cervan,Size,"Grove cervans stand between 5 and 6 feet tall, and have light builds, weighing between 130 and 180 pounds.",Cervan,Cervan,Taille,"Les cervans des bois mesurent entre 1,5 et 1,80 mètre et sont de corpulence légère, pesant entre 60 et 82 kg."
3,cervan,cervan,Speed,Your base walking speed is 30 feet.,Cervan,Cervan,Vitesse,Votre vitesse de marche de base est de 30 pieds.
4,cervan,cervan,Practical,"Cervans are eminently practical and like to spend their time learning useful skills for life in their woodland villages. You gain proficiency in one of the following skills: Athletics, Medicine, Nature, or Survival.",Cervan,Cervan,Pratique,"Les Cervans sont éminemment pratiques et aiment passer leur temps à acquérir des compétences utiles pour la vie dans leurs villages forestiers. Vous acquérez une maîtrise dans l'une des compétences suivantes : athlétisme, médecine, nature ou survie."
5,cervan,cervan,Surge of Vigor,"All cervans possess a great tenacity and will to survive, which allows them to bounce back from even the most devastating blows. If an attack deals over half of your current remaining hit points in damage, (even if your hit points are reduced to 0 by the attack) you immediately regain hit points equal to 1d12 + your Constitution Modifier.
You can’t use this feature again until you have completed a long rest.",Cervan,Cervan,Un regain de vigueur,"Tous les cervans possèdent une grande ténacité et une volonté de survie qui leur permet de rebondir même après les coups les plus dévastateurs. Si une attaque inflige plus de la moitié de vos points de vie restants en dégâts (même si vos points de vie sont réduits à 0 par l'attaque), vous récupérez immédiatement un nombre de points de vie égal à 1d12 + votre modificateur de Constitution. 
Vous ne pouvez pas utiliser cette capacité à nouveau avant d'avoir terminé un repos long."
6,cervan,cervan,Languages,"You can speak, read, and write Birdfolk, and speak Cervan (Cervan has no written component).",Cervan,Cervan,Langues,"Vous pouvez parler, lire et écrire le Birdfolk, et parler le Cervan (le Cervan n'a pas de composante écrite)."
7,cervan,cervan,Subrace,There are two main subraces of cervans: grove or pronghorn. Choose one of these subraces.,Cervan,Cervan,Sous-race,Il existe deux sous-races principales de cervidés : les antilopes d'Amérique ou les bosquets. Choisissez l'une de ces sous-races.
8,cervan,Grove Cervan,Ability Score Increase,Your Dexterity score increases by 1.,Cervan,Bosquet Cervan,Augmentation du score de capacité,Votre score de Dextérité augmente de 1.
9,cervan,Grove Cervan,Age,"Cervans reach maturity around 12 years. They live long lives compared to the rest of the Humblefolk, between 100 and 150 years, something they attribute as much to their way of life as the blessing of Cairith. Pronghorns generally live longer than grove cervans, which is considered a sign of Cairith’s favor.",Cervan,Bosquet Cervan,Âge,"Les cervanes atteignent leur maturité vers 12 ans. Ils vivent plus longtemps que le reste des Humblefolk, entre 100 et 150 ans, ce qu'ils attribuent autant à leur mode de vie qu'à la bénédiction de Cairith. Les antilopes vivent généralement plus longtemps que les cervanes des bosquets, ce qui est considéré comme un signe de la faveur de Cairith."
