,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,locathah,locathah,Ability Score Increase,Your Strength score increases by 2 and your Dexterity score increases by 1.,Locathah,Locathah,Augmentation du score de capacité,Votre score de Force augmente de 2 et votre score de Dextérité augmente de 1.
1,locathah,locathah,Age,Locathah mature to adulthood by the age of 10 but have been known to live up to 80 years.,Locathah,Locathah,Âge,"Les Locathah atteignent l'âge adulte à l'âge de 10 ans, mais on sait qu'ils peuvent vivre jusqu'à 80 ans."
2,locathah,locathah,Alignment,"Most locathah are true neutral or have some aspect of neutrality in their alignment. They tend toward good, coming from a culture where compassion for the downtrodden is a commonality.",Locathah,Locathah,Alignement,"La plupart des Locathah sont véritablement neutres ou présentent un certain aspect de neutralité dans leur alignement. Ils ont tendance à être bons, venant d'une culture où la compassion pour les opprimés est une caractéristique commune."
3,locathah,locathah,Natural Armor,"You have tough, scaly skin. When you aren’t wearing armor, your AC is 12 + your Dexterity modifier. You can use your natural armor to determine your AC if the armor you wear would leave you with a lower AC. A shield’s benefits apply as normal while you use your natural armor.",Locathah,Locathah,Armure naturelle,"Vous avez une peau résistante et écailleuse. Lorsque vous ne portez pas d'armure, votre CA est de 12 + votre modificateur de Dextérité. Vous pouvez utiliser votre armure naturelle pour déterminer votre CA si l'armure que vous portez vous laisse avec une CA inférieure. Les avantages d'un bouclier s'appliquent normalement lorsque vous utilisez votre armure naturelle."
4,locathah,locathah,Observant & Athletic,You have proficiency in the Athletics and Perception skills.,Locathah,Locathah,Observateur et sportif,Vous maîtrisez les compétences en athlétisme et en perception.
5,locathah,locathah,Leviathan Will,"You have advantage on saving throws against being charmed, frightened, paralyzed, poisoned, stunned, or put to sleep.",Locathah,Locathah,Volonté du Léviathan,"Vous bénéficiez d'un avantage aux jets de sauvegarde contre les risques de charme, de peur, de paralysie, d'empoisonnement, d'étourdissement ou d'endormissement."
6,locathah,locathah,Limited Amphibiousness,"You can breathe air and water, but you need to be submerged at least once every 4 hours to avoid suffocating.",Locathah,Locathah,Amphibie limitée,"Vous pouvez respirer de l'air et de l'eau, mais vous devez être immergé au moins une fois toutes les 4 heures pour éviter de vous étouffer."
7,locathah,locathah,Size,Locathah stand between 5 and 6 feet tall and average about 150 pounds. Your size is Medium.,Locathah,Locathah,Taille,"Les Locathah mesurent entre 1,5 et 1,80 m et pèsent en moyenne 68 kg. Votre taille est M."
8,locathah,locathah,Speed,"Your base walking speed is 30 feet, and you have a swim speed of 30 feet.",Locathah,Locathah,Vitesse,Votre vitesse de marche de base est de 30 pieds et vous avez une vitesse de nage de 30 pieds.
9,locathah,locathah,Languages,"You can speak, read, and write Aquan and Common.",Locathah,Locathah,Langues,"Vous pouvez parler, lire et écrire Aquan et Common."
