,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,kenku,kenku,Ability Score Increase,"Your Dexterity score increases by 2, and your Wisdom increases by 1.",kenku,kenku,Augmentation du score de capacité,Votre score de Dextérité augmente de 2 et votre Sagesse augmente de 1.
1,kenku,kenku,Age,Kenku have shorter lifespans than humans. They reach maturity at about 12 years old and can live to 60.,kenku,kenku,Âge,Les Kenku ont une espérance de vie plus courte que les humains. Ils atteignent leur maturité vers 12 ans et peuvent vivre jusqu'à 60 ans.
2,kenku,kenku,Alignment,"Kenku are chaotic creatures, rarely making enduring commitments, and they care mostly for preserving their own hides. They are generally chaotic neutral in outlook.",kenku,kenku,Alignement,"Les Kenku sont des créatures chaotiques, qui prennent rarement des engagements durables et qui se soucient surtout de préserver leur propre peau. Ils ont généralement une attitude chaotique neutre."
3,kenku,kenku,Size,"Kenku are around 5 feet tall and weigh between 90 and 120 pounds. Your size is Medium. Your height is 4'4"" with a modifier of +2d8. Your weight is 50 lbs. with a modifier of +(height roll) x 1d6.",kenku,kenku,Taille,"Les Kenkus mesurent environ 1,50 mètre et pèsent entre 40 et 54 kilos. Votre taille est M. Votre taille est de 1,33 mètre avec un modificateur de +2d8. Votre poids est de 22 kilos avec un modificateur de +(test de taille) x 1d6."
4,kenku,kenku,Speed,Your base walking speed is 30 feet.,kenku,kenku,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,kenku,kenku,Expert Forgery,You can duplicate other creatures' handwriting and craftwork. You have advantage on all checks made to produce forgeries or duplicates of existing objects.,kenku,kenku,Expert en falsification,Vous pouvez dupliquer l'écriture et l'artisanat d'autres créatures. Vous bénéficiez d'un avantage à tous les tests effectués pour produire des contrefaçons ou des copies d'objets existants.
6,kenku,kenku,Kenku Training,"You are proficient in your choice of two of the following skills: Acrobatics, Deception, Stealth, and Sleight of Hand.",kenku,kenku,Entraînement Kenku,"Vous maîtrisez deux des compétences suivantes, au choix : acrobaties, tromperie, furtivité et tour de passe-passe."
7,kenku,kenku,Mimicry,"You can mimic sounds you have heard, including voices. A creature that hears the sounds can tell they are imitations with a successful Insight check opposed by your Deception check.",kenku,kenku,Mimétisme,"Vous pouvez imiter les sons que vous avez entendus, y compris les voix. Une créature qui entend les sons peut savoir qu'il s'agit d'imitations en réussissant un test de Perspicacité opposé à votre test de Tromperie."
8,kenku,kenku,Languages,"You can read and write Common and Auran, but you can only speak using your Mimicry trait.",kenku,kenku,Langues,"Vous pouvez lire et écrire le commun et l'auran, mais vous ne pouvez parler qu'en utilisant votre trait Mimétisme."
9,kenku,Kenku MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1.",kenku,Kenku MPMM,Augmentation du score de capacité,"Une valeur de capacité de votre choix augmente de 2, et une autre valeur de capacité de votre choix augmente de 1, ou trois valeurs de capacité de votre choix augmentent de 1."
10,kenku,Kenku MPMM,Age,Kenku have shorter lifespans than humans. They reach maturity at about 12 years old and can live to 60.,kenku,Kenku MPMM,Âge,Les Kenku ont une espérance de vie plus courte que les humains. Ils atteignent leur maturité vers 12 ans et peuvent vivre jusqu'à 60 ans.
11,kenku,Kenku MPMM,Alignment,"Kenku are chaotic creatures, rarely making enduring commitments, and they care mostly for preserving their own hides. They are generally chaotic neutral in outlook.",kenku,Kenku MPMM,Alignement,"Les Kenku sont des créatures chaotiques, qui prennent rarement des engagements durables et qui se soucient surtout de préserver leur propre peau. Ils ont généralement une attitude chaotique neutre."
12,kenku,Kenku MPMM,Size,Your size is Medium or Small. You choose the size when you select this race.,kenku,Kenku MPMM,Taille,Votre taille est Medium ou Small. Vous choisissez la taille lorsque vous sélectionnez cette race.
13,kenku,Kenku MPMM,Speed,30 ft.,kenku,Kenku MPMM,Vitesse,30 pieds
14,kenku,Kenku MPMM,Expert Forgery,You can duplicate other creatures' handwriting and craftwork. You have advantage on all checks made to produce forgeries or duplicates of existing objects.,kenku,Kenku MPMM,Expert en falsification,Vous pouvez dupliquer l'écriture et l'artisanat d'autres créatures. Vous bénéficiez d'un avantage à tous les tests effectués pour produire des contrefaçons ou des copies d'objets existants.
15,kenku,Kenku MPMM,Kenku Training,"You are proficient in your choice of two of the following skills: Acrobatics, Deception, Stealth, and Sleight of Hand.",kenku,Kenku MPMM,Entraînement Kenku,"Vous maîtrisez deux des compétences suivantes, au choix : acrobaties, tromperie, furtivité et tour de passe-passe."
16,kenku,Kenku MPMM,Mimicry,"You can accurately mimic sounds you have heard, including voices. A creature that hears the sounds you make can tell they are imitations only with a successful Wisdom (Insight) check against a DC of 8 + your proficiency bonus + your Charisma modifier.",kenku,Kenku MPMM,Mimétisme,"Vous pouvez imiter avec précision les sons que vous avez entendus, y compris les voix. Une créature qui entend les sons que vous produisez ne peut déterminer qu'il s'agit d'imitations qu'en réussissant un test de Sagesse (Perspicacité) contre un DD de 8 + votre bonus de maîtrise + votre modificateur de Charisme."
17,kenku,Kenku MPMM,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character.",kenku,Kenku MPMM,Langues,"Vous pouvez parler, lire et écrire le commun et une autre langue que vous et votre MD considérez comme appropriée pour votre personnage."
18,kenku,Kenku MPMM,Expert Duplication,"When you copy writing or craftwork produced by yourself or someone else, you have advantage on any ability checks you make to produce an exact duplicate.",kenku,Kenku MPMM,Duplication experte,"Lorsque vous copiez un écrit ou un travail artisanal produit par vous-même ou par quelqu'un d'autre, vous bénéficiez d'un avantage sur tous les tests de capacité que vous effectuez pour produire une copie exacte."
19,kenku,Kenku MPMM,Kenku Recall,"Thanks to your supernaturally good memory, you have proficiency in two skills of your choice.",kenku,Kenku MPMM,Rappel de Kenku,"Grâce à votre mémoire surnaturellement bonne, vous maîtrisez deux compétences de votre choix."
