,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,kalashtar,kalashtar,Ability Score Increase,"Your Wisdom score increases by 2, and your Charisma score increases by 1.",Kalachtar,Kalachtar,Augmentation du score de capacité,Votre score de Sagesse augmente de 2 et votre score de Charisme augmente de 1.
1,kalashtar,kalashtar,Age,Kalashtar mature and age at the same rate as humans.,Kalachtar,Kalachtar,Âge,Les Kalashtar mûrissent et vieillissent au même rythme que les humains.
2,kalashtar,kalashtar,Alignment,"The noble spirit tied to a kalashtar drives it toward lawful and good behavior. Most kalashtar combine strong self-discipline with compassion for all beings, but some kalashtar resist the virtuous influence of their spirit.",Kalachtar,Kalachtar,Alignement,"L'esprit noble attaché au kalashtar le pousse à adopter un comportement licite et bon. La plupart des kalashtar associent une forte autodiscipline à la compassion pour tous les êtres, mais certains kalashtar résistent à l'influence vertueuse de leur esprit."
3,kalashtar,kalashtar,Size,"Your size is Medium. To set your height and weight randomly, start with rolling a size modifier: Size modifier = 2d6 Height = 5 feet + 4 inches + your size modifier in inches Weight in pounds = 110 + (1d6 x your size modifier)",Kalachtar,Kalachtar,Taille,"Votre taille est M. Pour définir votre taille et votre poids de manière aléatoire, commencez par lancer un modificateur de taille : Modificateur de taille = 2d6 Taille = 1,50 m + 10,2 cm + votre modificateur de taille en pouces Poids en livres = 110 + (1d6 x votre modificateur de taille)"
4,kalashtar,kalashtar,Speed,Your base walking speed is 30 feet.,Kalachtar,Kalachtar,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,kalashtar,kalashtar,Dual Mind,You have advantage on all Wisdom saving throws.,Kalachtar,Kalachtar,Esprit double,Vous avez l'avantage sur tous les jets de sauvegarde de Sagesse.
6,kalashtar,kalashtar,Mental Discipline,You have resistance to psychic damage.,Kalachtar,Kalachtar,Discipline mentale,Vous avez une résistance aux dégâts psychiques.
7,kalashtar,kalashtar,Mind Link,"You can speak telepathically to any creature you can see, provided the creature is within a number of feet of you equal to 10 times your level. You don't need to share a language with the creature for it to understand your telepathic utterances, but the creature must be able to understand at least one language.",Kalachtar,Kalachtar,Lien mental,"Vous pouvez parler par télépathie à n'importe quelle créature que vous voyez, à condition que la créature se trouve à moins de 10 mètres de vous, soit égale à votre niveau. Vous n'avez pas besoin de parler la même langue que la créature pour qu'elle comprenne vos paroles télépathiques, mais la créature doit être capable de comprendre au moins une langue."
8,kalashtar,kalashtar,Severed from Dreams,"Kalashtar sleep, but they don't connect to the plane of dreams as other creatures do. Instead, their minds draw from the memories of their otherworldly spirit while they sleep. As such, you are immune to spells and other magical effects that require you to dream, like Dream, but not to spells and other magical effects that put you to sleep, like Sleep.",Kalachtar,Kalachtar,Séparé des rêves,"Les Kalashtars dorment, mais ils ne se connectent pas au plan des rêves comme le font les autres créatures. Au lieu de cela, leur esprit puise dans les souvenirs de leur esprit surnaturel pendant leur sommeil. En tant que tel, vous êtes immunisé contre les sorts et autres effets magiques qui vous obligent à rêver, comme Rêve, mais pas contre les sorts et autres effets magiques qui vous font dormir, comme Sommeil."
9,kalashtar,kalashtar,Languages,"You can speak, read, and write Common, Quori, and one other language of your choice.",Kalachtar,Kalachtar,Langues,"Vous pouvez parler, lire et écrire le Common, le Quori et une autre langue de votre choix."
