,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,hexblood,hexblood,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1.",sang maléfique,sang maléfique,Augmentation du score de capacité,"Une valeur de capacité de votre choix augmente de 2, et une autre valeur de capacité de votre choix augmente de 1, ou trois valeurs de capacité de votre choix augmentent de 1."
1,hexblood,hexblood,Creature Type,You are a Fey.,sang maléfique,sang maléfique,Type de créature,Tu es une fée.
2,hexblood,hexblood,Size,You are Medium or Small. You choose the size when you gain this lineage.,sang maléfique,sang maléfique,Taille,Vous êtes de taille moyenne ou petite. Vous choisissez la taille lorsque vous obtenez cette lignée.
3,hexblood,hexblood,Speed,Your walking speed is 30 feet.,sang maléfique,sang maléfique,Vitesse,Votre vitesse de marche est de 30 pieds.
4,hexblood,hexblood,Ancestral Legacy,"If you replace a race with this lineage, you can keep the following elements of that race: any skill proficiencies you gained from it and any climbing, flying, or swimming speed you gained from it.",sang maléfique,sang maléfique,Héritage ancestral,"Si vous remplacez une race par cette lignée, vous pouvez conserver les éléments suivants de cette race : toutes les compétences que vous avez acquises grâce à elle et toute vitesse d'escalade, de vol ou de nage que vous avez acquise grâce à elle."
5,hexblood,hexblood,Darkvision,You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness as shades of gray.,sang maléfique,sang maléfique,Vision dans le noir,Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Vous discernez les couleurs dans cette obscurité comme des nuances de gris.
6,hexblood,hexblood,Eerie Token,"As a bonus action, you can harmlessly remove a lock of your hair, one of your nails, or one of your teeth. This token is imbued with magic until you finish a long rest. While the token is imbued in this way, you can take these actions:",sang maléfique,sang maléfique,Jeton étrange,"En tant qu'action bonus, vous pouvez retirer sans danger une mèche de vos cheveux, un de vos ongles ou une de vos dents. Ce jeton est imprégné de magie jusqu'à ce que vous ayez terminé un repos long. Tant que le jeton est imprégné de cette manière, vous pouvez effectuer les actions suivantes :"
7,hexblood,hexblood,Telepathic Message,"As an action, you can send a telepathic message to the creature holding or carrying the token, as long as you are within 10 miles of it. The message can contain up to twenty-five words.",sang maléfique,sang maléfique,Message télépathique,"En tant qu'action, vous pouvez envoyer un message télépathique à la créature qui détient ou porte le jeton, à condition que vous vous trouviez à moins de 10 miles de celle-ci. Le message peut contenir jusqu'à vingt-cinq mots."
8,hexblood,hexblood,Remote Viewing,"If you are within 10 miles of the token, you can enter a trance as an action. The trance lasts for 1 minute, but it ends early if you dismiss it (no action required) or are incapacitated. During this trance, you can see and hear from the token as if you were located where it is. While you are using your senses at the token’s location, you are blinded and deafened in regard to your own surroundings. When the trance ends, the token is harmlessly destroyed.",sang maléfique,sang maléfique,Visualisation à distance,"Si vous vous trouvez à moins de 10 miles du jeton, vous pouvez entrer en transe en tant qu'action. La transe dure 1 minute, mais elle se termine plus tôt que prévu si vous l'annulez (aucune action requise) ou si vous êtes dans l'incapacité de le faire. Pendant cette transe, vous pouvez voir et entendre le jeton comme si vous vous trouviez à l'endroit où il se trouve. Pendant que vous utilisez vos sens à l'emplacement du jeton, vous êtes aveuglé et assourdi par rapport à votre propre environnement. Lorsque la transe se termine, le jeton est détruit sans danger."
9,hexblood,hexblood,Hex Magic,"You can cast the Disguise Self and Hex spells with this trait. Once you cast either of these spells with this trait, you can’t cast that spell with it again until you finish a long rest. You can also cast these spells using any spell slots you have.",sang maléfique,sang maléfique,Magie des sorts,"Vous pouvez lancer les sorts Déguisement et Maléfice avec ce trait. Une fois que vous avez lancé l'un de ces sorts avec ce trait, vous ne pouvez plus le lancer à nouveau avant d'avoir terminé un repos long. Vous pouvez également lancer ces sorts en utilisant n'importe quel emplacement de sort dont vous disposez."
