,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,genasi,genasi,Ability Score Increase,Your Constitution score increases by 2.,génasi,génasi,Augmentation du score de capacité,Votre score de Constitution augmente de 2.
1,genasi,genasi,Age,"Genasi mature at about the same rate as humans and reach adulthood in their late teens. They live somewhat longer than humans do, up to 120 years.",génasi,génasi,Âge,"Les Genasis grandissent à peu près au même rythme que les humains et atteignent l'âge adulte à la fin de leur adolescence. Ils vivent un peu plus longtemps que les humains, jusqu'à 120 ans."
2,genasi,genasi,Alignment,"Independent and self-reliant, genasi tend toward a neutral alignment.",génasi,génasi,Alignement,"Indépendants et autonomes, les genasi ont tendance à adopter un alignement neutre."
3,genasi,genasi,Size,"Genasi are as varied as their mortal parents but are generally built like humans, standing anywhere from 5 feet to over 6 feet tall. Your size is Medium.",génasi,génasi,Taille,"Les Genasi sont aussi variés que leurs parents mortels, mais sont généralement construits comme des humains, mesurant entre 1,50 et plus de 1,80 mètre. Votre taille est M."
4,genasi,genasi,Speed,Your base walking speed is 30 feet.,génasi,génasi,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,genasi,genasi,Languages,"You can speak, read, and write Common and Primordial. Primordial is a guttural language, filled with harsh syllables and hard consonants.",génasi,génasi,Langues,"Vous pouvez parler, lire et écrire le commun et le primordial. Le primordial est une langue gutturale, remplie de syllabes dures et de consonnes dures."
6,genasi,genasi,Subrace,"Four major subraces of genasi are found among the worlds of D&D: air genasi, earth genasi, fire genasi, and water genasi. Choose one of these subraces.",génasi,génasi,Sous-race,"On trouve quatre sous-races principales de genasi dans les mondes de D&D : les genasi de l'air, les genasi de la terre, les genasi du feu et les genasi de l'eau. Choisissez l'une de ces sous-races."
7,genasi,Genasi on Athas,Ability Score Increase,Your Constitution score increases by 2.,génasi,Genasi sur Athas,Augmentation du score de capacité,Votre score de Constitution augmente de 2.
8,genasi,Genasi on Athas,Age,"Genasi mature at about the same rate as humans and reach adulthood in their late teens. They live somewhat longer than humans do, up to 120 years.",génasi,Genasi sur Athas,Âge,"Les Genasis grandissent à peu près au même rythme que les humains et atteignent l'âge adulte à la fin de leur adolescence. Ils vivent un peu plus longtemps que les humains, jusqu'à 120 ans."
9,genasi,Genasi on Athas,Alignment,"Independent and self-reliant, genasi tend toward a neutral alignment.",génasi,Genasi sur Athas,Alignement,"Indépendants et autonomes, les genasi ont tendance à adopter un alignement neutre."
10,genasi,Genasi on Athas,Size,"Genasi are as varied as their mortal parents but are generally built like humans, standing anywhere from 5 feet to over 6 feet tall. Your size is Medium.",génasi,Genasi sur Athas,Taille,"Les Genasi sont aussi variés que leurs parents mortels, mais sont généralement construits comme des humains, mesurant entre 1,50 et plus de 1,80 mètre. Votre taille est M."
11,genasi,Genasi on Athas,Speed,Your base walking speed is 30 feet.,génasi,Genasi sur Athas,Vitesse,Votre vitesse de marche de base est de 30 pieds.
12,genasi,Genasi on Athas,Languages,"You can speak, read, and write Common and Primordial. Primordial is a guttural language, filled with harsh syllables and hard consonants.",génasi,Genasi sur Athas,Langues,"Vous pouvez parler, lire et écrire le commun et le primordial. Le primordial est une langue gutturale, remplie de syllabes dures et de consonnes dures."
13,genasi,Genasi on Athas,Subrace,"Four major subraces of genasi are found among the worlds of D&D: air genasi, earth genasi, fire genasi, and water genasi. Choose one of these subraces.",génasi,Genasi sur Athas,Sous-race,"On trouve quatre sous-races principales de genasi dans les mondes de D&D : les genasi de l'air, les genasi de la terre, les genasi du feu et les genasi de l'eau. Choisissez l'une de ces sous-races."
14,genasi,Genasi Backgrounds,Ability Score Increase,Your Constitution score increases by 2.,génasi,Contexte Genasi,Augmentation du score de capacité,Votre score de Constitution augmente de 2.
15,genasi,Genasi Backgrounds,Age,"Genasi mature at about the same rate as humans and reach adulthood in their late teens. They live somewhat longer than humans do, up to 120 years.",génasi,Contexte Genasi,Âge,"Les Genasis grandissent à peu près au même rythme que les humains et atteignent l'âge adulte à la fin de leur adolescence. Ils vivent un peu plus longtemps que les humains, jusqu'à 120 ans."
16,genasi,Genasi Backgrounds,Alignment,"Independent and self-reliant, genasi tend toward a neutral alignment.",génasi,Contexte Genasi,Alignement,"Indépendants et autonomes, les genasi ont tendance à adopter un alignement neutre."
17,genasi,Genasi Backgrounds,Size,"Genasi are as varied as their mortal parents but are generally built like humans, standing anywhere from 5 feet to over 6 feet tall. Your size is Medium.",génasi,Contexte Genasi,Taille,"Les Genasi sont aussi variés que leurs parents mortels, mais sont généralement construits comme des humains, mesurant entre 1,50 et plus de 1,80 mètre. Votre taille est M."
18,genasi,Genasi Backgrounds,Speed,Your base walking speed is 30 feet.,génasi,Contexte Genasi,Vitesse,Votre vitesse de marche de base est de 30 pieds.
19,genasi,Genasi Backgrounds,Languages,"You can speak, read, and write Common and Primordial. Primordial is a guttural language, filled with harsh syllables and hard consonants.",génasi,Contexte Genasi,Langues,"Vous pouvez parler, lire et écrire le commun et le primordial. Le primordial est une langue gutturale, remplie de syllabes dures et de consonnes dures."
20,genasi,Genasi Backgrounds,Subrace,"Four major subraces of genasi are found among the worlds of D&D: air genasi, earth genasi, fire genasi, and water genasi. Choose one of these subraces.",génasi,Contexte Genasi,Sous-race,"On trouve quatre sous-races principales de genasi dans les mondes de D&D : les genasi de l'air, les genasi de la terre, les genasi du feu et les genasi de l'eau. Choisissez l'une de ces sous-races."
21,genasi,Air Genasi,Ability Score Increase,Your Constitution score increases by 2.,génasi,Genasi aérien,Augmentation du score de capacité,Votre score de Constitution augmente de 2.
22,genasi,Air Genasi,Age,"Genasi mature at about the same rate as humans and reach adulthood in their late teens. They live somewhat longer than humans do, up to 120 years.",génasi,Genasi aérien,Âge,"Les Genasis grandissent à peu près au même rythme que les humains et atteignent l'âge adulte à la fin de leur adolescence. Ils vivent un peu plus longtemps que les humains, jusqu'à 120 ans."
23,genasi,Air Genasi,Alignment,"Independent and self-reliant, genasi tend toward a neutral alignment.",génasi,Genasi aérien,Alignement,"Indépendants et autonomes, les genasi ont tendance à adopter un alignement neutre."
24,genasi,Air Genasi,Size,"Genasi are as varied as their mortal parents but are generally built like humans, standing anywhere from 5 feet to over 6 feet tall. Your size is Medium.",génasi,Genasi aérien,Taille,"Les Genasi sont aussi variés que leurs parents mortels, mais sont généralement construits comme des humains, mesurant entre 1,50 et plus de 1,80 mètre. Votre taille est M."
25,genasi,Air Genasi,Speed,Your base walking speed is 30 feet.,génasi,Genasi aérien,Vitesse,Votre vitesse de marche de base est de 30 pieds.
