,race,subrace,section,content
0,genasi,genasi,Ability Score Increase,Your Constitution score increases by 2.
1,genasi,genasi,Age,"Genasi mature at about the same rate as humans and reach adulthood in their late teens. They live somewhat longer than humans do, up to 120 years."
2,genasi,genasi,Alignment,"Independent and self-reliant, genasi tend toward a neutral alignment."
3,genasi,genasi,Size,"Genasi are as varied as their mortal parents but are generally built like humans, standing anywhere from 5 feet to over 6 feet tall. Your size is Medium."
4,genasi,genasi,Speed,Your base walking speed is 30 feet.
5,genasi,genasi,Languages,"You can speak, read, and write Common and Primordial. Primordial is a guttural language, filled with harsh syllables and hard consonants."
6,genasi,genasi,Subrace,"Four major subraces of genasi are found among the worlds of D&D: air genasi, earth genasi, fire genasi, and water genasi. Choose one of these subraces."
7,genasi,Genasi on Athas,Ability Score Increase,Your Constitution score increases by 2.
8,genasi,Genasi on Athas,Age,"Genasi mature at about the same rate as humans and reach adulthood in their late teens. They live somewhat longer than humans do, up to 120 years."
9,genasi,Genasi on Athas,Alignment,"Independent and self-reliant, genasi tend toward a neutral alignment."
10,genasi,Genasi on Athas,Size,"Genasi are as varied as their mortal parents but are generally built like humans, standing anywhere from 5 feet to over 6 feet tall. Your size is Medium."
11,genasi,Genasi on Athas,Speed,Your base walking speed is 30 feet.
12,genasi,Genasi on Athas,Languages,"You can speak, read, and write Common and Primordial. Primordial is a guttural language, filled with harsh syllables and hard consonants."
13,genasi,Genasi on Athas,Subrace,"Four major subraces of genasi are found among the worlds of D&D: air genasi, earth genasi, fire genasi, and water genasi. Choose one of these subraces."
14,genasi,Genasi Backgrounds,Ability Score Increase,Your Constitution score increases by 2.
15,genasi,Genasi Backgrounds,Age,"Genasi mature at about the same rate as humans and reach adulthood in their late teens. They live somewhat longer than humans do, up to 120 years."
16,genasi,Genasi Backgrounds,Alignment,"Independent and self-reliant, genasi tend toward a neutral alignment."
17,genasi,Genasi Backgrounds,Size,"Genasi are as varied as their mortal parents but are generally built like humans, standing anywhere from 5 feet to over 6 feet tall. Your size is Medium."
18,genasi,Genasi Backgrounds,Speed,Your base walking speed is 30 feet.
19,genasi,Genasi Backgrounds,Languages,"You can speak, read, and write Common and Primordial. Primordial is a guttural language, filled with harsh syllables and hard consonants."
20,genasi,Genasi Backgrounds,Subrace,"Four major subraces of genasi are found among the worlds of D&D: air genasi, earth genasi, fire genasi, and water genasi. Choose one of these subraces."
21,genasi,Air Genasi,Ability Score Increase,Your Constitution score increases by 2.
22,genasi,Air Genasi,Age,"Genasi mature at about the same rate as humans and reach adulthood in their late teens. They live somewhat longer than humans do, up to 120 years."
23,genasi,Air Genasi,Alignment,"Independent and self-reliant, genasi tend toward a neutral alignment."
24,genasi,Air Genasi,Size,"Genasi are as varied as their mortal parents but are generally built like humans, standing anywhere from 5 feet to over 6 feet tall. Your size is Medium."
25,genasi,Air Genasi,Speed,Your base walking speed is 30 feet.
26,genasi,Air Genasi,Languages,"You can speak, read, and write Common and Primordial. Primordial is a guttural language, filled with harsh syllables and hard consonants."
27,genasi,Air Genasi,Subrace,"Four major subraces of genasi are found among the worlds of D&D: air genasi, earth genasi, fire genasi, and water genasi. Choose one of these subraces."
28,genasi,Air Genasi,Ability Score Improvement,Your Dexterity score increases by 1.
29,genasi,Air Genasi,Unending Breath,You can hold your breath indefinitely while you're not incapacitated.
30,genasi,Air Genasi,Mingle with the Wind,"You can cast the Levitate spell once with this trait, requiring no material components, and you regain the ability to cast it this way when you finish a long rest. Constitution is your spellcasting ability for this spell."
31,genasi,Earth Genasi,Ability Score Increase,Your Constitution score increases by 2.
32,genasi,Earth Genasi,Age,"Genasi mature at about the same rate as humans and reach adulthood in their late teens. They live somewhat longer than humans do, up to 120 years."
33,genasi,Earth Genasi,Alignment,"Independent and self-reliant, genasi tend toward a neutral alignment."
34,genasi,Earth Genasi,Size,"Genasi are as varied as their mortal parents but are generally built like humans, standing anywhere from 5 feet to over 6 feet tall. Your size is Medium."
35,genasi,Earth Genasi,Speed,Your base walking speed is 30 feet.
36,genasi,Earth Genasi,Languages,"You can speak, read, and write Common and Primordial. Primordial is a guttural language, filled with harsh syllables and hard consonants."
37,genasi,Earth Genasi,Subrace,"Four major subraces of genasi are found among the worlds of D&D: air genasi, earth genasi, fire genasi, and water genasi. Choose one of these subraces."
38,genasi,Earth Genasi,Ability Score Improvement,Your Strength score increases by 1.
39,genasi,Earth Genasi,Unending Breath,You can hold your breath indefinitely while you're not incapacitated.
