,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,gith,gith,Ability Score Increase,Your Intelligence score increases by 1.,gith,gith,Augmentation du score de capacité,Votre score d'intelligence augmente de 1.
1,gith,gith,Age,Gith reach adulthood in their late teens and live for about a century.,gith,gith,Âge,Les Gith atteignent l’âge adulte à la fin de leur adolescence et vivent environ un siècle.
2,gith,gith,Size,"Gith are taller and leaner than humans, with most a slender 6 feet in height.",gith,gith,Taille,"Les Giths sont plus grands et plus minces que les humains, la plupart mesurant 1,80 mètre."
3,gith,gith,Speed,Your base walking speed is 30 feet.,gith,gith,Vitesse,Votre vitesse de marche de base est de 30 pieds.
4,gith,gith,Languages,"You can speak, read, and write Common and Gith.",gith,gith,Langues,"Vous pouvez parler, lire et écrire le commun et le gith."
5,gith,gith,Subrace,"There are two kinds of gith, githyanki and githzerai. Choose one of these subraces.",gith,gith,Sous-race,Il existe deux types de giths : les githyanki et les githzerai. Choisissez l'une de ces sous-races.
6,gith,Githyanki,Ability Score Increase,Your Intelligence score increases by 1.,gith,Githyanki,Augmentation du score de capacité,Votre score d'intelligence augmente de 1.
7,gith,Githyanki,Age,Gith reach adulthood in their late teens and live for about a century.,gith,Githyanki,Âge,Les Gith atteignent l’âge adulte à la fin de leur adolescence et vivent environ un siècle.
8,gith,Githyanki,Size,"Your height is 5'0"" with a modifier of +2d12. Your weight is 100 lbs. with a modifier of +(height roll) x 2d4.",gith,Githyanki,Taille,"Votre taille est de 1,53 m avec un modificateur de +2d12. Votre poids est de 45 kg avec un modificateur de +(test de taille) x 2d4."
9,gith,Githyanki,Speed,Your base walking speed is 30 feet.,gith,Githyanki,Vitesse,Votre vitesse de marche de base est de 30 pieds.
10,gith,Githyanki,Languages,"You can speak, read, and write Common and Gith.",gith,Githyanki,Langues,"Vous pouvez parler, lire et écrire le commun et le gith."
11,gith,Githyanki,Subrace,"There are two kinds of gith, githyanki and githzerai. Choose one of these subraces.",gith,Githyanki,Sous-race,Il existe deux types de giths : les githyanki et les githzerai. Choisissez l'une de ces sous-races.
