,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,jerbeen,jerbeen,Ability Score Increase,"Your Dexterity increases by 2, and your Charisma score increases by 1.",gerbe,gerbe,Augmentation du score de capacité,Votre Dextérité augmente de 2 et votre score de Charisme augmente de 1.
1,jerbeen,jerbeen,Age,"Jerbeens grow quickly, reaching maturity around 5 years. They are the shortest lived of all the humblefolk races, living just about 40 years.",gerbe,gerbe,Âge,"Les gerbes poussent rapidement et atteignent leur maturité vers l'âge de 5 ans. De toutes les races de la basse société, elles vivent moins longtemps, environ 40 ans."
2,jerbeen,jerbeen,Alignment,"Being small and facing many threats in the world, jerbeens are sensitive to the feelings of others, and tend towards good alignments. They also lean more towards lawful alignments due to their co-operative nature.",gerbe,gerbe,Alignement,"Étant petits et confrontés à de nombreuses menaces dans le monde, les jerbeens sont sensibles aux sentiments des autres et ont tendance à adopter de bons alignements. Ils penchent également davantage vers les alignements légaux en raison de leur nature coopérative."
3,jerbeen,jerbeen,Size,"Jerbeens have incredibly small and light bodies, standing between 2 and 3 feet tall, and weighing between 20 and 40 pounds. Your size is Small.",gerbe,gerbe,Taille,"Les gerbilles ont un corps incroyablement petit et léger, mesurant entre 2 et 3 pieds de haut et pesant entre 20 et 40 livres. Votre taille est Small."
4,jerbeen,jerbeen,Speed,Your base walking speed is 30 feet.,gerbe,gerbe,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,jerbeen,jerbeen,Standing Leap,"Your base long jump is 30 feet, and your base high jump is 15 feet, with or without a running start.",gerbe,gerbe,Saut debout,"Votre saut en longueur de base est de 30 pieds et votre saut en hauteur de base est de 15 pieds, avec ou sans départ en courant."
6,jerbeen,jerbeen,Nimbleness,You can move through the space of any creature that is of a size larger than yours.,gerbe,gerbe,Agilité,Vous pouvez vous déplacer dans l'espace de n'importe quelle créature d'une taille supérieure à la vôtre.
7,jerbeen,jerbeen,Take Heart,You have advantage on Strength saving throws and saving throws against being frightened as long as you are within 5 feet of an ally who isn’t frightened or incapacitated that you can both see and hear.,gerbe,gerbe,Prenez courage,"Vous bénéficiez d'un avantage aux jets de sauvegarde de Force et aux jets de sauvegarde contre la peur tant que vous êtes à moins de 1,50 mètre d'un allié qui n'est pas effrayé ou neutralisé et que vous pouvez à la fois voir et entendre."
8,jerbeen,jerbeen,Team Tactics,You can use the Help action as a bonus action.,gerbe,gerbe,Tactiques d'équipe,Vous pouvez utiliser l’action Aide comme action bonus.
9,jerbeen,jerbeen,Languages,"You can speak, read, and write Birdfolk and Jerbeen.",gerbe,gerbe,Langues,"Vous pouvez parler, lire et écrire Birdfolk et Jerbeen."
