,race,subrace,section,content
0,luma,luma,Ability Score Increase,Your Charisma score increases by 2.
1,luma,luma,Age,Lumas are short-lived reaching adulthood around 20 years. Few lumas live beyond 70 years.
2,luma,luma,Alignment,"Spurred by personal interests and flights of fancy, lumas lean towards chaotic alignments. While generally good natured, those that have been spurned by society find it hard to see the benefits of altruism, but even under such circumstances lumas are rarely evil."
3,luma,luma,Size,"Lumas are the shortest and lightest of the birdfolk, standing roughly 3 feet tall and weighing only around 30 pounds. Your size is Small."
4,luma,luma,Speed,Your base walking speed is 25 feet.
5,luma,luma,Glide,"Using your feathered arms, you can slow your fall, and glide short distances. When falling you can use your reaction to spread your arms, stiffen your wing feathers, and slow your descent. While doing so, you continue to fall gently at a speed of 60 feet per round, taking no fall damage when you land. If you would fall at least 10 feet in this way, you may fly up to your movement speed in one direction you choose, although you cannot choose to move upwards, landing in the space you finish your movement. You cannot glide while carrying heavy weapons or wielding a shield (though you may drop any held items as part of your reaction to spread your arms). You cannot glide while wearing heavy armor, or if you are encumbered."
6,luma,luma,Wing Flap,"As a bonus action, you can use your powerful feathered arms to propel yourself upward a distance equal to half your movement speed. You can use it in conjunction with a regular jump, but not while gliding."
7,luma,luma,Touched,You know one cantrip from the sorcerer spell list. Charisma is your spellcasting ability for this cantrip.
8,luma,luma,Fated,"Whether by luck or a guiding presence, you always seem to find your way. You can choose to reroll any attack, skill check, or saving throw. You can decide to do this after your roll, but only before the outcome of the roll has been determined. You can’t use this feature again until you have completed a long rest."
9,luma,luma,Languages,"You can speak, read, and write Birdfolk. You can also understand Auran, though you cannot speak it naturally."
10,luma,luma,Subrace,There are two main subraces of luma: sable and sera. Choose one of these subraces.
11,luma,Sable Luma,Ability Score Increase,Your Constitution score increases by 1.
12,luma,Sable Luma,Age,Lumas are short-lived reaching adulthood around 20 years. Few lumas live beyond 70 years.
