,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,yuan-ti pureblood,Yuan-ti Pureblood Traits,Ability Score Increase,"Your Intelligence score increases by 1, and your Charisma score increases by 2.",yuan-ti pur-sang,Traits de sang pur des Yuan-ti,Augmentation du score de capacité,Votre score d'intelligence augmente de 1 et votre score de charisme augmente de 2.
1,yuan-ti pureblood,Yuan-ti Pureblood Traits,Age,Purebloods mature at the same rate as humans and have lifespans similar in length to theirs.,yuan-ti pur-sang,Traits de sang pur des Yuan-ti,Âge,Les sang-purs mûrissent au même rythme que les humains et ont une durée de vie similaire à la leur.
2,yuan-ti pureblood,Yuan-ti Pureblood Traits,Alignment,Purebloods are devoid of emotion and see others as tools to manipulate. They care little for law or chaos and are typically neutral evil.,yuan-ti pur-sang,Traits de sang pur des Yuan-ti,Alignement,Les purs sangs sont dépourvus d'émotions et voient les autres comme des outils de manipulation. Ils se soucient peu de la loi ou du chaos et sont généralement neutres et mauvais.
3,yuan-ti pureblood,Yuan-ti Pureblood Traits,Size,"Purebloods match humans in average size and weight. Your size is Medium. Your height is 4'8"" with a modifier of +2d10. Your weight is 110 lbs. with a modifier of +(height roll) x 2d4.",yuan-ti pur-sang,Traits de sang pur des Yuan-ti,Taille,"Les purs sangs ont la même taille et le même poids que les humains. Votre taille est M. Votre taille est de 1,43 m avec un modificateur de +2d10. Votre poids est de 50 kg avec un modificateur de +(test de taille) x 2d4."
4,yuan-ti pureblood,Yuan-ti Pureblood Traits,Speed,Your base walking speed is 30 feet.,yuan-ti pur-sang,Traits de sang pur des Yuan-ti,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,yuan-ti pureblood,Yuan-ti Pureblood Traits,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.",yuan-ti pur-sang,Traits de sang pur des Yuan-ti,Vision dans le noir,"Vous pouvez voir dans une faible lumière à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une faible lumière. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
6,yuan-ti pureblood,Yuan-ti Pureblood Traits,Innate Spellcasting,"You know the Poison Spray cantrip. You can cast Animal Friendship an unlimited number of times with this trait, but you can target only snakes with it. Starting at 3rd level, you can also cast Suggestion with this trait. Once you cast it, you can't do so again until you finish a long rest. Charisma is your spellcasting ability for these spells.",yuan-ti pur-sang,Traits de sang pur des Yuan-ti,Lancer des sorts innés,"Vous connaissez le sort de magie Spray empoisonné. Vous pouvez lancer Amitié animale un nombre illimité de fois avec ce trait, mais vous ne pouvez cibler que les serpents avec. À partir du niveau 3, vous pouvez également lancer Suggestion avec ce trait. Une fois que vous l'avez lancé, vous ne pouvez plus le faire avant d'avoir terminé un repos long. Le Charisme est votre capacité à lancer ces sorts."
7,yuan-ti pureblood,Yuan-ti Pureblood Traits,Magic Resistance,You have advantage on saving throws against spells and other magical effects.,yuan-ti pur-sang,Traits de sang pur des Yuan-ti,Résistance magique,Vous bénéficiez d'un avantage sur les jets de sauvegarde contre les sorts et autres effets magiques.
8,yuan-ti pureblood,Yuan-ti Pureblood Traits,Poison Immunity,You are immune to poison damage and the poisoned condition.,yuan-ti pur-sang,Traits de sang pur des Yuan-ti,Immunité au poison,Vous êtes immunisé contre les dégâts de poison et l'état empoisonné.
9,yuan-ti pureblood,Yuan-ti Pureblood Traits,Languages,"You can speak, read, and write Common, Abyssal, and Draconic.",yuan-ti pur-sang,Traits de sang pur des Yuan-ti,Langues,"Vous pouvez parler, lire et écrire le commun, l'abyssal et le draconique."
