,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,verdan,verdan,Verdan characters have a number of traits in common,with others of their kind.,verdan,verdan,Les personnages de Verdan ont un certain nombre de traits en commun,avec d'autres de leur espèce.
1,verdan,verdan,Ability Score Increase,"Your Constitution score increases by 1, and your Charisma score increases by 2.",verdan,verdan,Augmentation du score de capacité,Votre score de Constitution augmente de 1 et votre score de Charisme augmente de 2.
2,verdan,verdan,Age,"Verdan reach adulthood at around the age of 24, and it is thought that they might live to nearly 200 years old. However, because no verdan has died of old age since the race's initial creation, their upper age limits remain subject to speculation.",verdan,verdan,Âge,"Les Verdan atteignent l'âge adulte vers 24 ans et on estime qu'ils peuvent vivre jusqu'à près de 200 ans. Cependant, comme aucun Verdan n'est mort de vieillesse depuis la création de la race, leur limite d'âge supérieure reste sujette à spéculation."
3,verdan,verdan,Alignment,"Verdan are generally good, although their absence of racial identity and shared history can sometimes see individual verdan become untethered from any moral or ethical framework.",verdan,verdan,Alignement,"Les Verdan sont généralement bons, bien que leur absence d'identité raciale et d'histoire commune puisse parfois voir les Verdan individuels se détacher de tout cadre moral ou éthique."
4,verdan,verdan,Size,"Verdan start out similar in size to the goblins they were created from, ranging from 3 to 4 feet in height. But at some point after reaching maturity, each verdan undergoes a sudden growth spurt of 2 feet or more. At 1st level, you are a Small creature. When you reach 5th level, you become a Medium creature.",verdan,verdan,Taille,"Les Verdan ont une taille similaire à celle des gobelins dont ils sont issus, allant de 90 à 120 cm de haut. Mais à un moment donné, après avoir atteint la maturité, chaque Verdan subit une poussée de croissance soudaine de 60 cm ou plus. Au niveau 1, vous êtes une créature de petite taille. Lorsque vous atteignez le niveau 5, vous devenez une créature de taille moyenne."
5,verdan,verdan,Speed,Your base walking speed is 30 feet.,verdan,verdan,Vitesse,Votre vitesse de marche de base est de 30 pieds.
6,verdan,verdan,Black Blood Healing,"The black blood that is a sign of your people's connection to That-Which-Endures boosts your natural healing. When you roll a 1 or 2 on any Hit Die you spend at the end of a short rest, you can reroll the die and must use the new roll.",verdan,verdan,Guérison du sang noir,"Le sang noir, signe du lien de votre peuple avec Ce-Qui-Endure, renforce votre guérison naturelle. Lorsque vous obtenez un 1 ou un 2 sur n'importe quel dé de vie que vous dépensez à la fin d'un repos court, vous pouvez relancer le dé et devez utiliser le nouveau résultat."
7,verdan,verdan,Limited Telepathy,"You can telepathically speak to any creature you can see within 30 feet of you. You don't need to share a language with the creature for it to understand your telepathy, but it must be able to understand at least one language. This process of communication is slow and limited, allowing you to transmit and receive only simple ideas and straightforward concepts.",verdan,verdan,Télépathie limitée,"Vous pouvez parler par télépathie à n'importe quelle créature que vous voyez à moins de 9 mètres de vous. Vous n'avez pas besoin de parler la même langue que la créature pour qu'elle comprenne votre télépathie, mais elle doit être capable de comprendre au moins une langue. Ce processus de communication est lent et limité, vous permettant de transmettre et de recevoir uniquement des idées simples et des concepts simples."
8,verdan,verdan,Persuasive,Your people's lack of history makes you trustworthy and humble. You have proficiency in the Persuasion skill.,verdan,verdan,Persuasif,L'absence d'histoire de votre peuple vous rend digne de confiance et humble. Vous maîtrisez la compétence Persuasion.
9,verdan,verdan,Telepathic Insight,Your mind's connection to the world around you strengthens your will. You have advantage on all Wisdom and Charisma saving throws.,verdan,verdan,Vision télépathique,La connexion de votre esprit avec le monde qui vous entoure renforce votre volonté. Vous bénéficiez d'un avantage sur tous les jets de sauvegarde de Sagesse et de Charisme.
10,verdan,verdan,Languages,"You speak, read, and write Common, Goblin, and one additional language of your choice. This language typically has some connection to one of the areas or cultures that has been part of your life.",verdan,verdan,Langues,"Vous parlez, lisez et écrivez le commun, le gobelin et une langue supplémentaire de votre choix. Cette langue a généralement un lien avec l'une des régions ou cultures qui ont fait partie de votre vie."
