,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,shifter,shifter,Age,"Shifters are quick to mature both physically and emotionally, reaching young adulthood at age 10. They rarely live to be more than 70 years old.",levier de vitesse,levier de vitesse,Âge,"Les métamorphes mûrissent rapidement, tant physiquement qu'émotionnellement, et atteignent l'âge adulte à l'âge de 10 ans. Ils vivent rarement plus de 70 ans."
1,shifter,shifter,Alignment,"Shifters tend toward neutrality, being more focused on survival than concepts of good and evil. A love of personal freedom can drive shifters toward chaotic alignments.",levier de vitesse,levier de vitesse,Alignement,"Les métamorphes ont tendance à être neutres, se concentrant davantage sur la survie que sur les concepts de bien et de mal. L'amour de la liberté personnelle peut conduire les métamorphes vers des alignements chaotiques."
2,shifter,shifter,Size,"Your size is Medium. To set your height and weight randomly, start with rolling a size modifier: Size modifier = 2d8 Height = 4 feet + 6 inches + your size modifier in inches Weight in pounds = 90 + (2d4 x your size modifier)",levier de vitesse,levier de vitesse,Taille,"Votre taille est M. Pour définir votre taille et votre poids de manière aléatoire, commencez par lancer un modificateur de taille : Modificateur de taille = 2d8 Taille = 1,20 m + 15 cm + votre modificateur de taille en pouces Poids en livres = 40 + (2d4 x votre modificateur de taille)"
3,shifter,shifter,Speed,Your base walking speed is 30 feet.,levier de vitesse,levier de vitesse,Vitesse,Votre vitesse de marche de base est de 30 pieds.
4,shifter,shifter,Darkvision,"You have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.",levier de vitesse,levier de vitesse,Vision dans le noir,"Vous avez une vision supérieure dans l'obscurité et dans des conditions de faible luminosité. Vous pouvez voir dans une faible luminosité à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une faible luminosité. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
5,shifter,shifter,Shifting,"As a bonus action, you can assume a more bestial appearance. This transformation lasts for 1 minute, until you die, or until you revert to your normal appearance as a bonus action. When you shift, you gain temporary hit points equal to your level + your Constitution modifier (minimum of 1 temporary hit point). You also gain additional benefits that depend on your shifter subrace, described below.",levier de vitesse,levier de vitesse,Déplacement,"En tant qu'action bonus, vous pouvez adopter une apparence plus bestiale. Cette transformation dure 1 minute, jusqu'à ce que vous mourriez ou que vous repreniez votre apparence normale en tant qu'action bonus. Lorsque vous vous métamorphosez, vous gagnez des points de vie temporaires égaux à votre niveau + votre modificateur de Constitution (minimum de 1 point de vie temporaire). Vous obtenez également des avantages supplémentaires qui dépendent de votre sous-race de métamorphe, décrits ci-dessous."
6,shifter,shifter,Languages,"You can speak, read, and write Common.",levier de vitesse,levier de vitesse,Langues,"Vous pouvez parler, lire et écrire le commun."
7,shifter,shifter,"The beast within shapes each shifter physically and mentally. The four major subraces of shifter include: beasthide, longtooth, swiftstride, and wildhunt.",Choose a subrace for your shifter.,levier de vitesse,levier de vitesse,"La bête intérieure façonne chaque métamorphe physiquement et mentalement. Les quatre principales sous-races de métamorphes sont : Beasthide, Longtooth, Swiftstride et Wildhunt.",Choisissez une sous-race pour votre shifter.
8,shifter,Beasthide,Age,"Shifters are quick to mature both physically and emotionally, reaching young adulthood at age 10. They rarely live to be more than 70 years old.",levier de vitesse,Peau de bête,Âge,"Les métamorphes mûrissent rapidement, tant physiquement qu'émotionnellement, et atteignent l'âge adulte à l'âge de 10 ans. Ils vivent rarement plus de 70 ans."
9,shifter,Beasthide,Alignment,"Shifters tend toward neutrality, being more focused on survival than concepts of good and evil. A love of personal freedom can drive shifters toward chaotic alignments.",levier de vitesse,Peau de bête,Alignement,"Les métamorphes ont tendance à être neutres, se concentrant davantage sur la survie que sur les concepts de bien et de mal. L'amour de la liberté personnelle peut conduire les métamorphes vers des alignements chaotiques."
