,race,subrace,section,content
0,kenku,kenku,Ability Score Increase,"Your Dexterity score increases by 2, and your Wisdom increases by 1."
1,kenku,kenku,Age,Kenku have shorter lifespans than humans. They reach maturity at about 12 years old and can live to 60.
2,kenku,kenku,Alignment,"Kenku are chaotic creatures, rarely making enduring commitments, and they care mostly for preserving their own hides. They are generally chaotic neutral in outlook."
3,kenku,kenku,Size,"Kenku are around 5 feet tall and weigh between 90 and 120 pounds. Your size is Medium. Your height is 4'4"" with a modifier of +2d8. Your weight is 50 lbs. with a modifier of +(height roll) x 1d6."
4,kenku,kenku,Speed,Your base walking speed is 30 feet.
5,kenku,kenku,Expert Forgery,You can duplicate other creatures' handwriting and craftwork. You have advantage on all checks made to produce forgeries or duplicates of existing objects.
6,kenku,kenku,Kenku Training,"You are proficient in your choice of two of the following skills: Acrobatics, Deception, Stealth, and Sleight of Hand."
7,kenku,kenku,Mimicry,"You can mimic sounds you have heard, including voices. A creature that hears the sounds can tell they are imitations with a successful Insight check opposed by your Deception check."
8,kenku,kenku,Languages,"You can read and write Common and Auran, but you can only speak using your Mimicry trait."
9,kenku,Kenku MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1."
10,kenku,Kenku MPMM,Age,Kenku have shorter lifespans than humans. They reach maturity at about 12 years old and can live to 60.
11,kenku,Kenku MPMM,Alignment,"Kenku are chaotic creatures, rarely making enduring commitments, and they care mostly for preserving their own hides. They are generally chaotic neutral in outlook."
12,kenku,Kenku MPMM,Size,Your size is Medium or Small. You choose the size when you select this race.
13,kenku,Kenku MPMM,Speed,30 ft.
14,kenku,Kenku MPMM,Expert Forgery,You can duplicate other creatures' handwriting and craftwork. You have advantage on all checks made to produce forgeries or duplicates of existing objects.
15,kenku,Kenku MPMM,Kenku Training,"You are proficient in your choice of two of the following skills: Acrobatics, Deception, Stealth, and Sleight of Hand."
16,kenku,Kenku MPMM,Mimicry,"You can accurately mimic sounds you have heard, including voices. A creature that hears the sounds you make can tell they are imitations only with a successful Wisdom (Insight) check against a DC of 8 + your proficiency bonus + your Charisma modifier."
17,kenku,Kenku MPMM,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character."
18,kenku,Kenku MPMM,Expert Duplication,"When you copy writing or craftwork produced by yourself or someone else, you have advantage on any ability checks you make to produce an exact duplicate."
19,kenku,Kenku MPMM,Kenku Recall,"Thanks to your supernaturally good memory, you have proficiency in two skills of your choice."
