,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,warforged,warforged,Ability Score Increase,"Your Constitution score increases by 2, and one other ability score of your choice increases by 1.",forgé par la guerre,forgé par la guerre,Augmentation du score de capacité,Votre score de Constitution augmente de 2 et un autre score de capacité de votre choix augmente de 1.
1,warforged,warforged,Age,"A typical warforged is between two and thirty years old. The maximum warforged lifespan remains a mystery; so far, warforged have shown no signs of deterioration due to age. You are immune to magical aging effects.",forgé par la guerre,forgé par la guerre,Âge,"Un forgelier typique a entre deux et trente ans. La durée de vie maximale d'un forgelier reste un mystère ; jusqu'à présent, les forgeliers n'ont montré aucun signe de détérioration dû à l'âge. Vous êtes immunisé contre les effets du vieillissement magique."
2,warforged,warforged,Alignment,"Most warforged take comfort in order and discipline, tending toward law and neutrality. But some have absorbed the morality, or lack thereof, of the beings with which they served.",forgé par la guerre,forgé par la guerre,Alignement,"La plupart des forgeliers se réconfortent dans l'ordre et la discipline, et tendent vers la loi et la neutralité. Mais certains ont absorbé la moralité, ou plutôt l'absence de moralité, des êtres avec lesquels ils ont servi."
3,warforged,warforged,Size,"Your size is Medium. To set your height and weight randomly, start with rolling a size modifier: Size modifier = 2d6 Height = 5 feet + 10 inches + your size modifier in inches Weight in pounds = 270 + (4 x your size modifier)",forgé par la guerre,forgé par la guerre,Taille,"Votre taille est M. Pour définir votre taille et votre poids de manière aléatoire, commencez par lancer un modificateur de taille : Modificateur de taille = 2d6 Taille = 1,50 m + 25,4 cm + votre modificateur de taille en pouces Poids en livres = 270 + (4 x votre modificateur de taille)"
4,warforged,warforged,Speed,Your base walking speed is 30 feet.,forgé par la guerre,forgé par la guerre,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,warforged,warforged,Constructed Resilience,"You were created to have remarkable fortitude, represented by the following benefits:",forgé par la guerre,forgé par la guerre,Résilience construite,"Vous avez été créé pour avoir une force d’âme remarquable, représentée par les avantages suivants :"
6,warforged,warforged,,"While you live, your armor can't be removed from your body against your will.
",forgé par la guerre,forgé par la guerre,,"Tant que vous vivez, votre armure ne peut pas être retirée de votre corps contre votre volonté."
7,warforged,warforged,Sentry's Rest,"When you take a long rest, you must spend at least six hours in an inactive, motionless state, rather than sleeping. In this state, you appear inert, but it doesn't render you unconscious, and you can see and hear as normal.",forgé par la guerre,forgé par la guerre,Repos de la sentinelle,"Lorsque vous prenez un repos prolongé, vous devez passer au moins six heures dans un état d'inactivité et d'immobilité, plutôt que de dormir. Dans cet état, vous semblez inerte, mais cela ne vous rend pas inconscient et vous pouvez voir et entendre normalement."
8,warforged,warforged,Integrated Protection,"Your body has built-in defensive layers, which can be enhanced with armor:",forgé par la guerre,forgé par la guerre,Protection intégrée,"Votre corps possède des couches défensives intégrées, qui peuvent être renforcées par une armure :"
9,warforged,warforged,Specialized Design,You gain one skill proficiency and one tool proficiency of your choice.,forgé par la guerre,forgé par la guerre,Conception spécialisée,Vous obtenez une maîtrise d'une compétence et une maîtrise d'un outil de votre choix.
10,warforged,warforged,Languages,"You can speak, read, and write Common and one other language of your choice.",forgé par la guerre,forgé par la guerre,Langues,"Vous pouvez parler, lire et écrire le français et une autre langue de votre choix."
