,race,subrace,section,content,race FR,subrace FR,section FR,content FR
0,hobgoblin,hobgoblin,Ability Score Increase,"Your Constitution score increases by 2, and your Intelligence score increases by 1.",lutin,lutin,Augmentation du score de capacité,Votre score de Constitution augmente de 2 et votre score d'Intelligence augmente de 1.
1,hobgoblin,hobgoblin,Age,Hobgoblins mature at the same rate as humans and have lifespans similar in length to theirs.,lutin,lutin,Âge,Les gobelins mûrissent au même rythme que les humains et ont une durée de vie similaire à la leur.
2,hobgoblin,hobgoblin,Alignment,"Hobgoblin society is built on fidelity to a rigid, unforgiving code of conduct. As such, they tend toward lawful evil.",lutin,lutin,Alignement,"La société des Hobgobelins est fondée sur la fidélité à un code de conduite rigide et impitoyable. En tant que tel, ils ont tendance à se tourner vers le mal légitime."
3,hobgoblin,hobgoblin,Size,"Hobgoblins are between 5 and 6 feet tall and weigh between 150 and 200 pounds. Your size is Medium. Your height is 4'8"" with a modifier of +2d10. Your weight is 110 lbs. with a modifier of +(height roll) x 2d4.",lutin,lutin,Taille,"Les Hobgobelins mesurent entre 1,50 et 1,80 mètre et pèsent entre 70 et 90 kilos. Votre taille est M. Votre taille est de 1,43 m avec un modificateur de +2d10. Votre poids est de 50 kilos avec un modificateur de +(jet de taille) x 2d4."
4,hobgoblin,hobgoblin,Speed,Your base walking speed is 30 feet.,lutin,lutin,Vitesse,Votre vitesse de marche de base est de 30 pieds.
5,hobgoblin,hobgoblin,Darkvision,"You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.",lutin,lutin,Vision dans le noir,"Vous pouvez voir dans une faible lumière à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une faible lumière. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris."
6,hobgoblin,hobgoblin,Martial Training,You are proficient with two martial weapons of your choice and with light armor.,lutin,lutin,Entraînement martial,Vous maîtrisez deux armes martiales de votre choix et une armure légère.
7,hobgoblin,hobgoblin,Saving Face,"Hobgoblins are careful not to show weakness in front of their allies, for fear of losing status. If you miss with an attack roll or fail an ability check or a saving throw, you can gain a bonus to the roll equal to the number of allies you can see within 30 feet of you (maximum bonus of +5). Once you use this trait, you can't use it again until you finish a short or long rest.",lutin,lutin,Sauver la face,"Les Hobgobelins prennent soin de ne pas montrer de faiblesse devant leurs alliés, de peur de perdre leur statut. Si vous ratez un jet d'attaque ou un test de caractéristique ou de sauvegarde, vous pouvez obtenir un bonus au jet égal au nombre d'alliés que vous pouvez voir à moins de 9 mètres de vous (bonus maximum de +5). Une fois que vous avez utilisé ce trait, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos court ou long."
8,hobgoblin,hobgoblin,Languages,"You can speak, read, and write Common and Goblin.",lutin,lutin,Langues,"Vous pouvez parler, lire et écrire le commun et le gobelin."
9,hobgoblin,Hobgoblin MPMM,Ability Score Increase,"One ability score of your choice increases by 2, and one other ability score of your choice increases by 1, or three ability scores of your choice increase by 1.",lutin,MPMM du Hobgobelin,Augmentation du score de capacité,"Une valeur de capacité de votre choix augmente de 2, et une autre valeur de capacité de votre choix augmente de 1, ou trois valeurs de capacité de votre choix augmentent de 1."
10,hobgoblin,Hobgoblin MPMM,Age,Hobgoblins mature at the same rate as humans and have lifespans similar in length to theirs.,lutin,MPMM du Hobgobelin,Âge,Les gobelins mûrissent au même rythme que les humains et ont une durée de vie similaire à la leur.
11,hobgoblin,Hobgoblin MPMM,Alignment,"Hobgoblin society is built on fidelity to a rigid, unforgiving code of conduct. As such, they tend toward lawful evil.",lutin,MPMM du Hobgobelin,Alignement,"La société des Hobgobelins est fondée sur la fidélité à un code de conduite rigide et impitoyable. En tant que tel, ils ont tendance à se tourner vers le mal légitime."
12,hobgoblin,Hobgoblin MPMM,Size,Medium,lutin,MPMM du Hobgobelin,Taille,Moyen
13,hobgoblin,Hobgoblin MPMM,Speed,30 ft.,lutin,MPMM du Hobgobelin,Vitesse,30 pieds
14,hobgoblin,Hobgoblin MPMM,Darkvision,You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray.,lutin,MPMM du Hobgobelin,Vision dans le noir,"Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Dans cette obscurité, vous ne discernez les couleurs que sous forme de nuances de gris."
15,hobgoblin,Hobgoblin MPMM,Martial Training,You are proficient with two martial weapons of your choice and with light armor.,lutin,MPMM du Hobgobelin,Entraînement martial,Vous maîtrisez deux armes martiales de votre choix et une armure légère.
16,hobgoblin,Hobgoblin MPMM,Saving Face,"Hobgoblins are careful not to show weakness in front of their allies, for fear of losing status. If you miss with an attack roll or fail an ability check or a saving throw, you can gain a bonus to the roll equal to the number of allies you can see within 30 feet of you (maximum bonus of +5). Once you use this trait, you can't use it again until you finish a short or long rest.",lutin,MPMM du Hobgobelin,Sauver la face,"Les Hobgobelins prennent soin de ne pas montrer de faiblesse devant leurs alliés, de peur de perdre leur statut. Si vous ratez un jet d'attaque ou un test de caractéristique ou de sauvegarde, vous pouvez obtenir un bonus au jet égal au nombre d'alliés que vous pouvez voir à moins de 9 mètres de vous (bonus maximum de +5). Une fois que vous avez utilisé ce trait, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos court ou long."
17,hobgoblin,Hobgoblin MPMM,Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character.",lutin,MPMM du Hobgobelin,Langues,"Vous pouvez parler, lire et écrire le commun et une autre langue que vous et votre MD considérez comme appropriée pour votre personnage."
18,hobgoblin,Hobgoblin MPMM,Creature Type,You are a Humanoid. You are also considered a goblinoid for any prerequisite or effect that requires you to be a goblinoid.,lutin,MPMM du Hobgobelin,Type de créature,Vous êtes un humanoïde. Vous êtes également considéré comme un gobelinoïde pour tout prérequis ou effet qui nécessite que vous soyez un gobelinoïde.
19,hobgoblin,Hobgoblin MPMM,Fey Ancestry,You have advantage on saving throws you make to avoid or end the charmed condition on yourself.,lutin,MPMM du Hobgobelin,Ascendance des fées,Vous bénéficiez d'un avantage sur les jets de sauvegarde que vous effectuez pour éviter ou mettre fin à l'état charmé sur vous-même.
20,hobgoblin,Hobgoblin MPMM,Fey Gift,"You can use this trait to take the Help action as a bonus action, and you can do so a number of times equal to your proficiency bonus. You regain all expended uses when you finish a long rest.",lutin,MPMM du Hobgobelin,Cadeau de fée,"Vous pouvez utiliser cette aptitude pour effectuer l'action Aider en tant qu'action bonus, et vous pouvez le faire un nombre de fois égal à votre bonus de maîtrise. Vous récupérez toutes les utilisations dépensées lorsque vous terminez un repos long."
